source,url,bias
"Russia Today","https://www.rt.com/rss/news/","Pro Russia"
"SCMP","https://www.scmp.com/rss/318199/feed/","Pro China"
"NYTimes","https://rss.nytimes.com/services/xml/rss/nyt/World.xml","US/Western"
"BBC","https://feeds.bbci.co.uk/news/world/rss.xml","UK/Western"
"The Guardian","https://www.theguardian.com/world/rss","UK/Western"
"Al Jazeera","https://www.aljazeera.com/xml/rss/all.xml","MiddleEast"
"Africanews","https://www.africanews.com/feed/rss","Africa"
"Channels TV","https://www.channelstv.com/feed/","Africa"
"BBC Middle East","https://feeds.bbci.co.uk/news/world/middle_east/rss.xml","MiddleEast"
"Guardian ME","https://www.theguardian.com/world/middleeast/rss","MiddleEast"
"The Hindu","https://www.thehindu.com/news/national/feeder/default.rss","Asia"
"The Diplomat","https://thediplomat.com/feed/","Asia"
"Japan Today","https://japantoday.com/feed/atom","Asia"
"Guardian Australia","https://www.theguardian.com/australia-news/rss","Australia"
"Federal Reserve","https://www.federalreserve.gov/feeds/press_all.xml","Government"

